Custom brain region	root	Frontal pole, cerebral cortex	Somatomotor areas	Somatosensory areas	Gustatory areas	Visceral area	Auditory areas	Visual areas	Anterior cingulate area	Prelimbic area	Infralimbic area	Orbital area	Agranular insular area	Retrosplenial area	Posterior parietal association areas	Temporal association areas	Perirhinal area	Ectorhinal area	Olfactory areas	Hippocampal formation	Hippocampal region	Retrohippocampal region	Cortical subplate	Claustrum	Endopiriform nucleus	Lateral amygdalar nucleus	Basolateral amygdalar nucleus	Basomedial amygdalar nucleus	Posterior amygdalar nucleus	Striatum	Striatum dorsal region	Striatum ventral region	Lateral septal complex	Striatum-like amygdalar nuclei	Pallidum	Pallidum, dorsal region	Pallidum, ventral region	Pallidum, medial region	Pallidum, caudal region	Thalamus	Ventral group of the dorsal thalamus	Subparafascicular nucleus	Subparafascicular area	Peripeduncular nucleus	Geniculate group, dorsal thalamus	Lateral group of the dorsal thalamus	Anterior group of the dorsal thalamus	Medial group of the dorsal thalamus	Midline group of the dorsal thalamus	Intralaminar nuclei of the dorsal thalamus	Reticular nucleus of the thalamus	Geniculate group, ventral thalamus	Epithalamus	Hypothalamus	Supraoptic nucleus	Accessory supraoptic group	Paraventricular hypothalamic nucleus	Periventricular hypothalamic nucleus, anterior part	Periventricular hypothalamic nucleus, intermediate part	Arcuate hypothalamic nucleus	Anterodorsal preoptic nucleus	Anteroventral preoptic nucleus	Anteroventral periventricular nucleus	Dorsomedial nucleus of the hypothalamus	Median preoptic nucleus	Medial preoptic area	Vascular organ of the lamina terminalis	Posterodorsal preoptic nucleus	Parastrial nucleus	Periventricular hypothalamic nucleus, posterior part	Periventricular hypothalamic nucleus, preoptic part	Subparaventricular zone	Suprachiasmatic nucleus	Subfornical organ	Ventromedial preoptic nucleus	Ventrolateral preoptic nucleus	Anterior hypothalamic nucleus	Mammillary body	Medial preoptic nucleus	Dorsal premammillary nucleus	Ventral premammillary nucleus	Paraventricular hypothalamic nucleus, descending division	Ventromedial hypothalamic nucleus	Posterior hypothalamic nucleus	Lateral hypothalamic area	Lateral preoptic area	Preparasubthalamic nucleus	Parasubthalamic nucleus	Perifornical nucleus	Retrochiasmatic area	Subthalamic nucleus	Tuberal nucleus	Zona incerta	Median eminence	Midbrain	Superior colliculus, sensory related	Inferior colliculus	Nucleus of the brachium of the inferior colliculus	Nucleus sagulum	Parabigeminal nucleus	Midbrain trigeminal nucleus	Subcommissural organ	Substantia nigra, reticular part	Ventral tegmental area	Paranigral nucleus	Midbrain reticular nucleus, retrorubral area	Midbrain reticular nucleus	Superior colliculus, motor related	Periaqueductal gray	Pretectal region	Cuneiform nucleus	Red nucleus	Oculomotor nucleus	Medial accesory oculomotor nucleus	Edinger-Westphal nucleus	Trochlear nucleus	Paratrochlear nucleus	Ventral tegmental nucleus	Anterior tegmental nucleus	Lateral terminal nucleus of the accessory optic tract	Dorsal terminal nucleus of the accessory optic tract	Medial terminal nucleus of the accessory optic tract	Substantia nigra, compact part	Pedunculopontine nucleus	Midbrain raphe nuclei	Pons	Nucleus of the lateral lemniscus	Principal sensory nucleus of the trigeminal	Parabrachial nucleus	Superior olivary complex	Barrington's nucleus	Dorsal tegmental nucleus	Posterodorsal tegmental nucleus	Pontine central gray	Pontine gray	Pontine reticular nucleus, caudal part	Supragenual nucleus	Supratrigeminal nucleus	Tegmental reticular nucleus	Motor nucleus of trigeminal	Peritrigeminal zone	Accessory trigeminal nucleus	Parvicellular motor 5 nucleus	Intertrigeminal nucleus	Superior central nucleus raphe	Locus ceruleus	Laterodorsal tegmental nucleus	Nucleus incertus	Pontine reticular nucleus	Nucleus raphe pontis	Subceruleus nucleus	Sublaterodorsal nucleus	Medulla	Area postrema	Cochlear nuclei	Dorsal column nuclei	External cuneate nucleus	Nucleus of the trapezoid body	Nucleus of the solitary tract	Spinal nucleus of the trigeminal, caudal part	Spinal nucleus of the trigeminal, interpolar part	Spinal nucleus of the trigeminal, oral part	Paratrigeminal nucleus	Abducens nucleus	Facial motor nucleus	Accessory facial motor nucleus	Nucleus ambiguus	Dorsal motor nucleus of the vagus nerve	Gigantocellular reticular nucleus	Infracerebellar nucleus	Inferior olivary complex	Intermediate reticular nucleus	Inferior salivatory nucleus	Linear nucleus of the medulla	Lateral reticular nucleus	Magnocellular reticular nucleus	Medullary reticular nucleus	Parvicellular reticular nucleus	Parasolitary nucleus	Paragigantocellular reticular nucleus	Perihypoglossal nuclei	Parapyramidal nucleus	Vestibular nuclei	Nucleus x	Hypoglossal nucleus	Nucleus y	Nucleus raphe magnus	Nucleus raphe pallidus	Nucleus raphe obscurus	Cerebellum	Vermal regions	Hemispheric regions	Fastigial nucleus	Interposed nucleus	Dentate nucleus	Vestibulocerebellar nucleus	fiber tracts	ventricular systems
			962	329			735	281	296			582	163	434	312782604				605		982	526																																																								557																																															607344858																																																																		951						848	
			767	981			251	1066	772			620	344	610	312782608				814		19	543																																																								1126																																															607344862																																																																		957						916	
			1021	201			816	401	810			910	314	274	312782612				961			664																																																								1																																															197																																																																		968						336	
			1085	1047			847	433	819			527696977	355	330	312782616				619			727																																																																																																							591																																																																								117	
				1070			954	1046				746	119	886	312782620				260			743																																																																																																							872																																																																								125	
				1038			1005	441				969	704	542	312782624				268			843																																																																																																																																																																															832	
				1062			1027	409				288	694	430					1139			1037																																																																																																																																																																															62	
				337			696	421				1125	800	687					631			1084																																																																																																																																																																															158	
				1030			643	973				608	675	590					639			502																																																																																																																																																																															911	
				113			759	573				680	699	622					647			484682470																																																																																																																																																																															901	
				1094			791	613											655			589508447																																																																																																																																																																															93	
				1128			249	74											663			484682508																																																																																																																																																																															229	
				478			456	121											788																																																																																																																																																																																		794	
				510			1018	385											566																																																																																																																																																																																		798	
				345			959	593																																																																																																																																																																																													1116	
				878			755	821																																																																																																																																																																																													933	
				657			990	721																																																																																																																																																																																													413	
				950			1023	778																																																																																																																																																																																													948	
				974			520	33																																																																																																																																																																																													841	
				1102			598	305																																																																																																																																																																																													506	
				2				425																																																																																																																																																																																													658	
				369				750																																																																																																																																																																																													633	
				450				269																																																																																																																																																																																													482	
				854				869																																																																																																																																																																																													917	
				577				902																																																																																																																																																																																													237	
				625				377																																																																																																																																																																																													792	
				945				393																																																																																																																																																																																													932	
				1026				533																																																																																																																																																																																													514	
				361				805																																																																																																																																																																																													380	
				1006				41																																																																																																																																																																																													697	
				670				501																																																																																																																																																																																													960	
				1086				565																																																																																																																																																																																													744	
				1111				257																																																																																																																																																																																													752	
				9				469																																																																																																																																																																																													326	
				461				312782574																																																																																																																																																																																													812	
				182305689				312782578																																																																																																																																																																																													850	
				182305693				312782582																																																																																																																																																																																													866	
				182305697				312782586																																																																																																																																																																																													78	
				182305701				312782590																																																																																																																																																																																													1123	
				182305705				312782594																																																																																																																																																																																													553	
				182305709				312782598																																																																																																																																																																																													728	
				182305713				312782628																																																																																																																																																																																													484682512	
				378				312782632																																																																																																																																																																																													983	
				873				312782636																																																																																																																																																																																													776	
				806				312782640																																																																																																																																																																																													956	
				1035				312782644																																																																																																																																																																																													579	
				1090				312782648																																																																																																																																																																																													964	
				862				312782652																																																																																																																																																																																													1108	
				893																																																																																																																																																																																																	971	
																																																																																																																																																																																																					484682516	
																																																																																																																																																																																																					986	
																																																																																																																																																																																																					784	
																																																																																																																																																																																																					6	
																																																																																																																																																																																																					924	
																																																																																																																																																																																																					190	
																																																																																																																																																																																																					198	
																																																																																																																																																																																																					896	
																																																																																																																																																																																																					1092	
																																																																																																																																																																																																					484682520	
																																																																																																																																																																																																					484682524	
																																																																																																																																																																																																					1000	
																																																																																																																																																																																																					760	
																																																																																																																																																																																																					102	
																																																																																																																																																																																																					877	
																																																																																																																																																																																																					1051	
																																																																																																																																																																																																					1060	
																																																																																																																																																																																																					1043	
																																																																																																																																																																																																					863	
																																																																																																																																																																																																					397	
																																																																																																																																																																																																					991	
																																																																																																																																																																																																					768	
																																																																																																																																																																																																					884	
																																																																																																																																																																																																					908	
																																																																																																																																																																																																					940	
																																																																																																																																																																																																					1099	
																																																																																																																																																																																																					466	
																																																																																																																																																																																																					530	
																																																																																																																																																																																																					603	
																																																																																																																																																																																																					737	
																																																																																																																																																																																																					428	
																																																																																																																																																																																																					436	
																																																																																																																																																																																																					618	
																																																																																																																																																																																																					443	
																																																																																																																																																																																																					449	
																																																																																																																																																																																																					301	
																																																																																																																																																																																																					484682528	
																																																																																																																																																																																																					824	
																																																																																																																																																																																																					54	
																																																																																																																																																																																																					349	
																																																																																																																																																																																																					46	
																																																																																																																																																																																																					753	
																																																																																																																																																																																																					690	
																																																																																																																																																																																																					681	
																																																																																																																																																																																																					673	
																																																																																																																																																																																																					1083	
																																																																																																																																																																																																					802	
																																																																																																																																																																																																					595	
																																																																																																																																																																																																					611	
